,Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Syllables,Source
38,ABBESS,39,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,12of12inf
39,ABBESSES,40,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
40,ABBEY,41,5834,2.554567028911333e-07,2.609720592809804e-07,2.3667479328842625e-05,1723,0,0,0,0,0,0,0,2,12of12inf
41,ABBEYS,42,3,1.3136272003315047e-10,1.2034418510965768e-10,9.54075988450087e-08,3,0,0,0,0,0,0,0,2,12of12inf
42,ABBOT,43,2001,8.761893426211138e-08,9.07750285369187e-08,8.373126674581926e-06,853,0,0,0,0,0,0,0,2,12of12inf
43,ABBOTS,44,23,1.0071141869208203e-09,6.024356143221606e-10,1.905901651533726e-07,20,0,0,0,0,0,0,0,2,12of12inf
44,ABBREVIATE,45,944,4.1335469237098015e-08,5.2301321357789185e-08,4.613756732630926e-06,391,0,0,0,0,0,0,0,4,12of12inf
45,ABBREVIATED,46,39048,1.7098171639514863e-06,1.3862070329689655e-06,2.055210774228824e-05,19786,0,0,0,0,0,0,0,5,12of12inf
46,ABBREVIATES,47,77,3.3716431475175283e-09,4.030264418364108e-09,9.063631502106278e-07,45,0,0,0,0,0,0,0,4,12of12inf
47,ABBREVIATING,48,17,7.443887468545192e-10,2.1051556207887607e-09,6.66990545655365e-07,16,0,0,0,0,0,0,0,5,12of12inf
48,ABBREVIATION,49,11827,5.178756299440236e-07,2.667490846424151e-07,5.849553101601896e-06,6393,0,0,0,0,0,0,0,5,12of12inf
49,ABBREVIATIONS,50,30285,1.326106658734654e-06,6.836724303650601e-07,8.934953800854557e-06,15652,0,0,0,0,0,0,0,5,12of12inf
50,ABDICATE,51,46,2.01422837384164e-09,1.1013229313912807e-09,3.136035519980309e-07,32,0,0,0,0,0,0,0,3,12of12inf
51,ABDICATED,52,141,6.1740478415580725e-09,3.9106488714050875e-09,5.388564767745614e-07,88,2009,0,0,0,0,0,0,4,12of12inf
52,ABDICATES,53,1,4.378757334438349e-11,1.3257419041926568e-11,1.415806078518955e-08,1,2009,0,0,0,0,0,0,3,12of12inf
53,ABDICATING,54,47,2.058015947186024e-09,1.199542671100129e-09,2.499986474503556e-07,35,2009,0,0,0,0,0,0,4,12of12inf
54,ABDICATION,55,760,3.3278555741731456e-08,2.1915365893542943e-08,1.4638130623960027e-06,605,2009,0,0,0,0,0,0,4,12of12inf
55,ABDICATIONS,56,0,0.0,0.0,0.0,0,2009,0,0,0,0,0,0,4,12of12inf
56,ABDOMEN,57,2683,1.174820592829809e-07,8.130089696062e-08,3.542571137670529e-06,1551,0,0,0,0,0,0,0,3,12of12inf
57,ABDOMENS,58,9,3.9408816009945136e-10,1.279978403504181e-10,5.863258976226604e-08,8,0,0,0,0,0,0,0,3,12of12inf
58,ABDOMINAL,59,12679,5.551826424334383e-07,3.698499279052487e-07,9.683023419519054e-06,4978,0,0,0,0,0,0,0,4,12of12inf
59,ABDOMINALS,60,23,1.0071141869208203e-09,2.23501898532056e-09,5.380261906377651e-07,23,0,0,0,0,0,0,0,4,12of12inf
60,ABDUCT,61,5,2.1893786672191743e-10,8.479781735515764e-11,6.469345819568788e-08,4,0,0,0,0,0,0,0,2,12of12inf
61,ABDUCTED,62,142,6.2178354149024564e-09,1.2832904134673493e-08,2.241503325076492e-06,86,0,0,0,0,0,0,0,3,12of12inf
62,ABDUCTING,63,3,1.3136272003315047e-10,4.819641949077399e-11,3.05128814489416e-08,3,0,0,0,0,0,0,0,3,12of12inf
63,ABDUCTION,64,214,9.370540695698068e-09,6.078880425443357e-09,1.112242081975832e-06,126,0,0,0,0,0,0,0,3,12of12inf
64,ABDUCTIONS,65,99,4.334969761093966e-09,5.148270792442137e-09,8.349702380701268e-07,57,0,0,0,0,0,0,0,3,12of12inf
65,ABDUCTOR,66,9,3.9408816009945136e-10,9.137404259965308e-11,6.171972133875229e-08,3,0,0,0,0,0,0,0,3,12of12inf
66,ABDUCTORS,67,4,1.7515029337753396e-10,1.2922732509423583e-10,7.081677190658223e-08,4,0,0,0,0,0,0,0,3,12of12inf
67,ABDUCTS,68,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,12of12inf
68,ABEAM,69,58,2.539679253974242e-09,2.7685107497175987e-09,6.330505665618201e-07,37,0,0,0,0,0,0,0,2,12of12inf
69,ABED,70,49,2.145591093874791e-09,4.053342467044772e-09,1.722572229732111e-06,34,0,0,0,0,0,0,0,2,12of12inf
70,ABERRANT,71,1659,7.264358417833221e-08,3.680280974688988e-08,1.7091691802224913e-06,1188,2009,0,0,0,0,0,0,3,12of12inf
71,ABERRATION,72,1047,4.584558929156952e-08,4.487554708268913e-08,3.682331667899435e-06,719,2009,0,0,0,0,0,0,4,12of12inf
72,ABERRATIONAL,73,99,4.334969761093966e-09,3.0455800097091753e-09,5.350002997443261e-07,65,2009,0,0,0,0,0,0,5,12of12inf
73,ABERRATIONS,74,1825,7.991232135349986e-08,7.21362800862106e-08,3.245767776177583e-06,1290,2009,0,0,0,0,0,0,4,12of12inf
74,ABET,75,1399,6.12588151087925e-08,3.795838280877906e-08,2.052138940649147e-06,893,0,0,0,0,0,0,0,2,12of12inf
75,ABETS,76,188,8.232063788744096e-09,5.4273777032869875e-09,6.466263150437248e-07,143,0,0,0,0,0,0,0,2,12of12inf
76,ABETTED,77,17194,7.528835360833297e-07,6.425314174208913e-07,1.195981160347444e-05,9006,0,0,0,0,0,0,0,3,12of12inf
77,ABETTER,78,33,1.444989920364655e-09,2.5511567611873766e-09,6.953402363968584e-07,25,0,0,0,0,0,0,0,3,12of12inf
78,ABETTERS,79,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
79,ABETTING,80,21105,9.241367354332135e-07,8.313766349130641e-07,1.630872019515532e-05,9692,2009,0,0,0,0,0,0,3,12of12inf
80,ABETTOR,81,173,7.575250188578343e-09,8.317701786397794e-09,1.3493355853378926e-06,121,0,0,0,0,0,0,0,3,12of12inf
81,ABETTORS,82,101,4.422544907782733e-09,5.257191017172166e-09,9.643327977814073e-07,66,0,0,0,0,0,0,0,3,12of12inf
82,ABEYANCE,83,15983,6.998567847632813e-07,4.249046603947089e-07,8.950531292202416e-06,6838,0,0,2009,0,0,0,0,3,12of12inf
83,ABEYANCES,84,16,7.006011735101357e-10,7.613890071972065e-10,2.7535067206006135e-07,15,0,0,2009,0,0,0,0,4,12of12inf
84,ABHOR,85,11,4.816633067882184e-10,3.5224750624915905e-10,1.365101265378772e-07,11,0,0,0,0,0,0,0,2,12of12inf
85,ABHORRED,86,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,12of12inf
86,ABHORRENCE,87,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
87,ABHORRENCES,88,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,12of12inf
88,ABHORRENT,89,46,2.01422837384164e-09,1.674312862417798e-09,4.531621472029817e-07,30,0,0,0,0,0,0,0,3,12of12inf
89,ABHORRENTLY,90,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,12of12inf
90,ABHORRING,91,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
91,ABHORS,92,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,12of12inf
92,ABIDANCE,93,126,5.517234241392321e-09,3.838437222553303e-09,6.098444867643436e-07,107,0,0,0,0,0,0,0,3,12of12inf
93,ABIDANCES,94,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,12of12inf
94,ABIDE,95,74745,3.272902169625944e-06,1.994353204049373e-06,1.6251289432538087e-05,44646,0,0,0,0,0,0,2009,2,12of12inf
95,ABIDED,96,700,3.0651301341068445e-08,1.8082890131818482e-08,1.2499820027201782e-06,491,0,0,0,0,0,0,0,3,12of12inf
96,ABIDES,97,1041,4.5582863851503215e-08,2.67407090411492e-08,1.7562389825399098e-06,831,0,0,0,0,0,0,0,2,12of12inf
97,ABIDING,98,3190,1.3968235896858333e-07,1.0911213914098083e-07,3.788787689495128e-06,2514,0,0,0,0,0,0,2009,3,12of12inf
98,ABIDINGLY,99,1,4.378757334438349e-11,2.3457534460390577e-11,2.505112026032977e-08,1,0,0,0,0,0,0,0,4,12of12inf
99,ABILITIES,100,90452,3.960673584146176e-06,3.708784321006237e-06,2.393608332472238e-05,68738,0,0,0,0,0,0,0,4,12of12inf
100,ABILITY,101,12741726,0.000557929261759,0.0005601625424567,0.0004883977960563,972683,0,0,0,0,0,0,0,4,12of12inf
101,ABJECT,102,28,1.2260520536427375e-09,6.851322429295981e-10,1.861880054122891e-07,24,0,0,0,0,0,0,0,2,12of12inf
102,ABJECTION,103,7,3.0651301341068443e-10,1.6293008067551474e-10,8.256968224366728e-08,7,0,0,0,0,0,0,0,3,12of12inf
103,ABJECTIONS,104,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
104,ABJECTLY,105,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
105,ABJECTNESS,106,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
106,ABJECTNESSES,107,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,12of12inf
107,ABJURATION,108,3,1.3136272003315047e-10,2.1798339831180647e-10,1.7687428254415566e-07,2,0,0,0,0,0,0,0,4,12of12inf
108,ABJURATIONS,109,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,12of12inf
109,ABJURATORY,110,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,12of12inf
110,ABJURE,111,3,1.3136272003315047e-10,2.287712460893721e-11,2.4431280310245082e-08,1,0,0,0,0,0,0,0,2,12of12inf
111,ABJURED,112,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,12of12inf
112,ABJURER,113,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
113,ABJURERS,114,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
114,ABJURES,115,1,4.378757334438349e-11,4.7347004730003744e-11,5.056351985587054e-08,1,0,0,0,0,0,0,0,2,12of12inf
115,ABJURING,116,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
116,ABLATE,117,2089,9.147224071641713e-08,6.392348652973013e-08,3.4247504794939048e-06,882,0,0,0,0,0,0,0,2,12of12inf
117,ABLATED,118,259,1.1340981496195324e-08,8.065100806919376e-09,8.075893820770512e-07,191,0,0,0,0,0,0,0,3,12of12inf
118,ABLATES,119,257,1.1253406349506557e-08,9.799326266970152e-09,1.1739577762935664e-06,207,0,0,0,0,0,0,0,2,12of12inf
119,ABLATING,120,533,2.33387765925564e-08,1.68807966655193e-08,1.279301473329442e-06,335,0,0,0,0,0,0,0,3,12of12inf
120,ABLATION,121,25411,1.1126860262541288e-06,8.735440622705602e-07,3.484033103610769e-05,3613,0,0,0,0,0,0,0,3,12of12inf
121,ABLATIONS,122,593,2.596603099321941e-08,1.657977345615529e-08,1.657893002842121e-06,267,0,0,0,0,0,0,0,3,12of12inf
122,ABLATIVE,123,1255,5.495340454720128e-08,3.4638207509454834e-08,2.859050880934652e-06,544,0,0,0,0,0,0,0,3,12of12inf
123,ABLATIVES,124,25,1.094689333609587e-09,7.293827499380775e-10,3.752976005478637e-07,20,0,0,0,0,0,0,0,3,12of12inf
124,ABLAZE,125,37,1.6201402137421891e-09,2.1225421165766596e-09,5.410440651144663e-07,21,0,0,0,0,0,0,0,2,12of12inf
125,ABLE,126,4888882,0.000214072279147,0.0002084159241991,0.000300644226261,725330,0,2009,0,0,0,0,0,2,12of12inf
126,ABLER,127,21,9.195390402320531e-10,4.4884345040254717e-10,1.2814682319075688e-07,19,0,0,0,0,0,0,0,2,12of12inf
127,ABLEST,128,280,1.2260520536427376e-08,3.4754365761248774e-08,1.1286569805429784e-05,39,0,0,0,0,0,0,0,2,12of12inf
128,ABLOOM,129,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,12of12inf
129,ABLUTION,130,18,7.881763201989027e-10,5.099681924891839e-10,1.5487047515590437e-07,17,0,0,0,0,0,0,0,3,12of12inf
130,ABLUTIONS,131,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
131,ABLY,132,1146,5.0180559052663486e-08,2.564409500551574e-08,1.856285018635235e-06,892,0,0,0,0,0,0,0,2,12of12inf
132,ABNEGATE,133,4,1.7515029337753396e-10,1.3586984920427275e-10,1.0263666522949972e-07,2,0,0,0,0,0,0,0,3,12of12inf
133,ABNEGATED,134,1,4.378757334438349e-11,1.6974855395418346e-11,1.812804089152566e-08,1,0,0,0,0,0,0,0,4,12of12inf
134,ABNEGATES,135,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
135,ABNEGATING,136,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,12of12inf
136,ABNEGATION,137,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,12of12inf
137,ABNEGATIONS,138,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,12of12inf
138,ABNORMAL,139,69990,3.0646922583734006e-06,2.9704031307896474e-06,2.613882043933261e-05,36979,2009,0,0,0,0,0,0,3,12of12inf
139,ABNORMALITIES,140,9287,4.066551936492895e-07,2.806297051432016e-07,6.8773330841846375e-06,5155,2009,0,0,0,0,0,0,5,12of12inf
140,ABNORMALITY,141,2176,9.528175959737849e-08,7.885384729003103e-08,3.511886458380861e-06,1479,2009,0,0,0,0,0,0,5,12of12inf
141,ABNORMALLY,142,13372,5.855274307610961e-07,5.727175348276003e-07,1.0554169779172869e-05,9932,2009,0,0,0,0,0,0,4,12of12inf
142,ABOARD,143,7354,3.2201381437459617e-07,2.79553722592052e-07,8.161649309460713e-06,4011,0,0,0,0,0,0,0,2,12of12inf
143,ABODE,144,1195,5.232615014653827e-08,2.6961545814144978e-08,6.710797613965946e-06,293,0,0,0,0,0,0,0,2,12of12inf
144,ABODES,145,6,2.627254400663009e-10,1.4735229456398214e-10,1.1335616546155182e-07,6,0,0,0,0,0,0,0,2,12of12inf
145,ABOLISH,146,11111,4.86523727429445e-07,2.967804404463383e-07,5.006036216168739e-06,9004,2009,0,0,0,0,0,0,3,12of12inf
146,ABOLISHED,147,3136,1.3731783000798665e-07,1.007830514906004e-07,3.152613987140707e-06,2478,2009,0,0,0,0,0,0,3,12of12inf
147,ABOLISHES,148,287,1.2567033549838062e-08,1.1901283105525192e-08,1.5699965892685948e-06,250,2009,0,0,0,0,0,0,4,12of12inf
148,ABOLISHING,149,636,2.78488966470279e-08,2.5928165482415355e-08,1.6491886953185352e-06,543,2009,0,0,0,0,0,0,4,12of12inf
149,ABOLISHMENT,150,480,2.1018035205304075e-08,1.8212936363162612e-08,2.948845576591534e-06,294,0,0,0,0,0,0,0,0,10K_2014
150,ABOLITION,151,735,3.2183866408121864e-08,2.2834529504487084e-08,1.3799549267463496e-06,597,0,0,0,0,0,0,0,4,12of12inf
151,ABOLITIONISM,152,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,12of12inf
152,ABOLITIONISMS,153,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,12of12inf
153,ABOLITIONIST,154,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,12of12inf
154,ABOLITIONISTS,155,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,12of12inf
155,ABOLITIONS,156,3,1.3136272003315047e-10,3.783854868479703e-11,3.5437814167054296e-08,2,0,0,0,0,0,0,0,4,12of12inf
156,ABOMINABLE,157,26,1.1384769069539707e-09,9.785765957681739e-10,4.113588786816301e-07,10,0,0,0,0,0,0,0,5,12of12inf
157,ABOMINABLY,158,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,12of12inf
158,ABOMINATE,159,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,12of12inf
159,ABOMINATED,160,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,12of12inf
160,ABOMINATES,161,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,12of12inf
161,ABOMINATING,162,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,12of12inf
162,ABOMINATION,163,16,7.006011735101357e-10,5.400763740446761e-10,2.151181765339589e-07,12,0,0,0,0,0,0,0,5,12of12inf
163,ABOMINATIONS,164,1,4.378757334438349e-11,4.476764937174203e-11,4.780893618966949e-08,1,0,0,0,0,0,0,0,5,12of12inf
164,ABORIGINAL,165,4442,1.9450440079575146e-07,1.4499702502003545e-07,8.242702514970637e-06,1246,0,0,0,0,0,0,0,5,12of12inf
165,ABORIGINALS,166,100,4.378757334438349e-09,6.374847524768563e-09,9.048609215742148e-07,87,0,0,0,0,0,0,0,5,12of12inf
166,ABORIGINE,167,5,2.1893786672191743e-10,8.13843691167486e-10,5.296487265367995e-07,4,0,0,0,0,0,0,0,5,12of12inf
167,ABORIGINES,168,53,2.320741387252325e-09,3.349347662755139e-09,7.231848858591466e-07,41,0,0,0,0,0,0,0,5,12of12inf
168,ABORNING,169,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
169,ABORT,170,1051,4.6020739584947055e-08,3.4301271391743475e-08,2.494906091967704e-06,591,0,0,0,0,0,0,0,2,12of12inf
170,ABORTED,171,3490,1.5281863097189838e-07,2.68848022332141e-07,1.1652256446308446e-05,2201,0,0,0,0,0,0,0,3,12of12inf
171,ABORTING,172,72,3.1527052807956113e-09,2.1747059379578023e-09,5.115053779163598e-07,35,0,0,0,0,0,0,0,3,12of12inf
172,ABORTION,173,773,3.3847794195208444e-08,1.388428887067164e-08,1.167097418950219e-06,378,0,0,0,0,0,0,0,3,12of12inf
173,ABORTIONIST,174,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,12of12inf
174,ABORTIONISTS,175,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,12of12inf
175,ABORTIONS,176,474,2.0755309765237774e-08,5.258054862834419e-09,6.795008047786186e-07,146,0,0,0,0,0,0,0,3,12of12inf
176,ABORTIVE,177,251,1.0990680909440256e-08,1.0513116254794772e-08,1.3951117124768094e-06,148,0,0,0,0,0,0,0,3,12of12inf
177,ABORTIVELY,178,1,4.378757334438349e-11,7.760835374357756e-11,8.288067128791527e-08,1,0,0,0,0,0,0,0,4,12of12inf
178,ABORTS,179,81,3.5467934408950623e-09,3.069716897327256e-09,8.841106834607728e-07,65,0,0,0,0,0,0,0,2,12of12inf
179,ABOUND,180,465,2.0361221605138324e-08,2.6310251993907732e-08,2.0011731217601543e-06,436,0,0,0,0,0,0,0,2,12of12inf
180,ABOUNDED,181,26,1.1384769069539707e-09,1.4821966205019724e-09,3.511516145462878e-07,26,0,0,0,0,0,0,0,3,12of12inf
181,ABOUNDING,182,51,2.233166240563558e-09,1.280659668508741e-09,2.5001144707241534e-07,34,0,0,0,0,0,0,0,3,12of12inf
182,ABOUNDS,183,125,5.473446668047937e-09,4.727432977019697e-09,7.022448961907571e-07,114,0,0,0,0,0,0,0,2,12of12inf
183,ABOUT,184,8388353,0.000367305622226,0.0004726934861685,0.0004193644881472,977707,0,0,0,0,0,0,0,2,12of12inf
184,ABOUTS,185,29,1.269839626987121e-09,1.1996464496238131e-09,3.28956725062692e-07,26,0,0,0,0,0,0,0,2,10K_2018
185,ABOVE,186,10227620,0.0004478426608884,0.0003886479078444,0.0003925158385001,933902,0,0,0,0,0,0,0,2,12of12inf
186,ABOVEBOARD,187,7,3.0651301341068443e-10,1.5556097852901042e-10,6.931823357685123e-08,7,0,0,0,0,0,0,0,3,12of12inf
187,ABOVEGROUND,188,6815,2.9841231234197346e-07,2.045205892962583e-07,8.580153130160249e-06,3945,0,0,0,0,0,0,0,3,10K_2008
188,ABOVEMENTIONED,189,6636,2.9057433671332884e-07,3.020143211021561e-07,8.722347033389955e-06,3847,0,0,0,2011,0,0,0,4,10K_2010
189,ABOVES,190,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,12of12inf
190,ABRACADABRA,191,33,1.444989920364655e-09,8.100087265831561e-10,2.3578332612618817e-07,28,0,0,0,0,0,0,0,5,12of12inf
191,ABRACADABRAS,192,3,1.3136272003315047e-10,1.7721982425897436e-10,1.1595412176240707e-07,3,0,0,0,0,0,0,0,5,12of12inf
192,ABRADE,193,69,3.0213425607624612e-09,2.6079293108005067e-09,4.583408560857802e-07,60,0,0,0,0,0,0,0,2,12of12inf
193,ABRADED,194,57,2.495891680629859e-09,2.407496405728456e-09,6.1985817944918e-07,49,0,0,0,0,0,0,0,3,12of12inf
194,ABRADES,195,7,3.0651301341068443e-10,4.91601729080607e-10,2.0423227733551562e-07,7,0,0,0,0,0,0,0,2,12of12inf
195,ABRADING,196,145,6.3491981349356065e-09,6.6503266931408545e-09,9.890603142108335e-07,79,0,0,0,0,0,0,0,3,12of12inf
196,ABRASION,197,4993,2.1863135370850683e-07,2.055335102130955e-07,8.501732479210775e-06,2803,0,0,0,0,0,0,0,3,12of12inf
197,ABRASIONS,198,631,2.762995878030598e-08,2.190780474718963e-08,1.7524040816912348e-06,451,0,0,0,0,0,0,0,3,12of12inf
198,ABRASIVE,199,7726,3.383027916587069e-07,3.721635872833605e-07,1.785059142212283e-05,2948,0,0,0,0,0,0,0,3,12of12inf
199,ABRASIVELY,200,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,12of12inf
200,ABRASIVENESS,201,80,3.503005867550679e-09,2.2140345317175816e-09,3.461368653140789e-07,63,0,0,0,0,0,0,0,4,12of12inf
201,ABRASIVENESSES,202,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,12of12inf
202,ABRASIVES,203,6195,2.712640168684557e-07,2.978632060372377e-07,2.119238721844922e-05,1685,0,0,0,0,0,0,0,3,12of12inf
203,ABREAST,204,8417,3.6856000483967596e-07,3.243261447445518e-07,6.208186628855586e-06,7510,0,0,0,0,0,0,0,2,12of12inf
204,ABRIDGE,205,3127,1.3692374184788718e-07,5.4025464901521675e-08,1.9460242038429662e-06,1947,0,0,0,0,0,0,0,2,12of12inf
205,ABRIDGED,206,2148,9.405570754373574e-08,5.687740074988695e-08,2.474988382526073e-06,1669,0,0,0,0,0,0,0,2,12of12inf
206,ABRIDGEMENT,207,513,2.246302512566873e-08,9.776370254126704e-09,8.459474444051108e-07,316,0,0,0,0,0,0,0,3,12of12inf
